,,,,,,,
CEC 102,Жалпы ағылшын тілі (А2 деңгейі),6,6,73,P,,Өтті
CSS 105,Бағдарламалау негіздері,4,5,65,C,2,Қанағаттанарлық
MAT 151,Сызыкты алгебра,3,5,85,B+,3.33,Жақсы
MAT 153,Компьютер ғылымдарына арналған математика 1,3,5,70,C+,2.33,Жақсы
MDE 131,Түрік тілі 1 (A1 деңгейі),2,3,85,B+,3.33,Жақсы
MDE 141,Дене шынықтыру 1,1,2,95,A,4,Өте жақсы
MDE 171,Қазақстанның қазіргі заман тарихы,3,5,98,A,4,Өте жақсы
,,22,31,SA : 81.4,GA : 81.4,SPA : 3.05,GPA : 3.05
2020 - 2021. 2,,,,,,,
CSS 108,Бағдарламалау технологиялары және оқу тәжірибесі,3,5,72,C+,2.33,Жақсы
INF 106,Ақпараттық-коммуникациялық технологиялар,3,5,86,B+,3.33,Жақсы
MAT 154,Компьютер ғылымдарына арналған математика 2,3,5,80,B,3,Жақсы
MAT 156,Дискретті математика,3,5,50,D,1,Қанағаттанарлық
MDE 103,Шетел тілі 1 (ағылшын тілі - B1 деңгейі),3,5,80,B,3,Жақсы
MDE 132,Түрік тілі 2 (A1 деңгейі),2,3,85,B+,3.33,Жақсы
MDE 142,Дене шынықтыру 2,1,2,86,B+,3.33,Жақсы
MDE 144,Дене шынықтыру 4,1,2,80,B,3,Жақсы
,,19,32,SA : 75.84,GA : 78.28,SPA : 2.69,GPA : 2.85
2021 - 2022. 1,,,,,,,
CSS 152,Физика 1,3,5,74,C+,2.33,Жақсы
CSS 215,Алгоритмдерге кіріспе,3,5,70,C+,2.33,Жақсы
INF 202,АЖ-дегі деректер қоры 3,3,5,93,A-,3.67,Өте жақсы
INF 231,Веб бағдарламалау: фронт-энд,3,5,100,A,4,Өте жақсы
MDE 113,Қазақ тілі 1 (B1 деңгейі),3,5,85,B+,3.33,Жақсы
MDE 133,Түрік тілі 3 (A2 деңгейі),2,3,94,A-,3.67,Өте жақсы
MDE 152,Әлеуметтік-саяси білім модулі (Әлеуметтану),1,2,92,A-,3.67,Өте жақсы
MDE 191,Шетел тілі 2 (ағылшын тілі - B1+ деңгейі),3,5,78,B-,2.67,Жақсы
,,21,35,SA : 84.74,GA : 80.74,SPA : 3.14,GPA : 2.96
2021 - 2022. 2,,,,,,,
CSS 220,Терендетілген алгоритмдер,3,5,72,C+,2.33,Жақсы
INF 232,Веб бағдарламалау: бэк-энд,4,5,89,B+,3.33,Жақсы
INF 305,АЖ-дегі деректер қоры 2,3,5,75,B-,2.67,Жақсы
INF 313,Компьютерлік желілері 1,3,5,58,D+,1.33,Қанағаттанарлық
MDE 114,Қазақ тілі 2 (B1 деңгейі),3,5,84,B,3,Жақсы
MDE 134,Түрік тілі 4 (A2 деңгейі),2,3,100,A,4,Өте жақсы
,,18,28,SA : 78.21,GA : 80.15,SPA : 2.69,GPA : 2.9
2022 - 2023. 1,,,,,,,
CSS 380,Индустриалдық практика 1,1,1,100,P,,Өтті
INF 312,Инженерлік және компьютерлік графика,3,5,95,A,4,Өте жақсы
INF 318,Тестілеуге кіріспе,3,5,83,B,3,Жақсы
INF 324,Компьютерлік көру,3,5,97,A,4,Өте жақсы
MAT 251,Ықтималдықтар теориясы және математикалық статистика,4,5,87,B+,3.33,Жақсы
MDE 151,Әлеуметтік-саяси білім модулі (Саясаттану),1,2,81,B,3,Жақсы
MDE 162,Құқық,3,5,98,A,4,Өте жақсы
,,18,28,SA : 91.19,GA : 82.18,SPA : 3.62,GPA : 3.03
2022 - 2023. 2,,,,,,,
CSS 381,Индустриалды практика,1,1,100,A,4,Өте жақсы
INF 228,UX/UI дизайн,3,5,91,A-,3.67,Өте жақсы
INF 261,Ойын физикасы,3,5,56,D+,1.33,Қанағаттанарлық
INF 371,Тестілеудегі автоматтандыру,3,5,65,C,2,Қанағаттанарлық
INF 405,Компьютерлік ғылымдары саласындағы жеке даму,3,5,97,A,4,Өте жақсы
MDE 153,Әлеуметтік-саяси білім модулі (Мәдениеттану),1,2,98,A,4,Өте жақсы
MDE 154,Әлеуметтік-саяси білім модулі (Психология),1,2,97,A,4,Өте жақсы
MDE 172,Философия,3,5,86,B+,3.33,Жақсы
,,18,30,SA : 82.17,GA : 82.18,SPA : 3.06,GPA : 3.03
2023 - 2024. 1,,,,,,,
CSS 410,Зерттеу әдістері мен құралдары,3,5,24,IP,,Орындалуда
CSS 446,IT аудит,3,5,40,IP,,Орындалуда
CSS 480,Кәсіптік практика 3,2,3,,IP,,Орындалуда
CSS 481,Кәсіптік практика 3,1,2,,IP,,Орындалуда
INF 360,ИТ-құқық,3,5,48,IP,,Орындалуда
INF 440,Сандық кескінді өңдеу,3,5,48,IP,,Орындалуда
MAT 364,Криптография,3,5,42,IP,,Орындалуда
MDE 293,Дене шынықтыру 3,1,2,50,IP,,Орындалуда
,,19,32,SA : 0,GA : 82.18,SPA : 0,GPA : 3.03
Жалпы ішкі кредит саны : 116,,Жалпы кредит/ECTS саны : 184,,Жалпы орталама баға (%) : 82.18,,,
